sep=;
"Time";"Vazao.mean"
"2020-05-27 19:40:24";214.44
"2020-05-27 19:40:25";180.93
"2020-05-27 19:40:26";184.1
"2020-05-27 19:40:26";186.48
"2020-05-27 19:40:27";227.41
"2020-05-27 19:40:28";198.65
"2020-05-27 19:40:28";158.2
"2020-05-27 19:40:29";220.88
"2020-05-27 19:40:30";236.32
"2020-05-27 19:40:31";232
"2020-05-27 19:40:31";163.22
"2020-05-27 19:40:32";223.11
"2020-05-27 19:40:33";172.08
"2020-05-27 19:40:33";155.59
"2020-05-27 19:40:34";238.91
"2020-05-27 19:40:35";215.69
"2020-05-27 19:40:35";206.72
"2020-05-27 19:40:36";164.42
"2020-05-27 19:40:37";222.95
"2020-05-27 19:40:38";225.05
"2020-05-27 19:40:38";168.76
"2020-05-27 19:40:39";236.75
"2020-05-27 19:40:40";217.42
"2020-05-27 19:40:40";164.09
"2020-05-27 19:40:41";179.91
"2020-05-27 19:40:42";236.85
"2020-05-27 19:40:43";168.16
"2020-05-27 19:40:43";165.67
"2020-05-27 19:40:44";171.96
"2020-05-27 19:40:45";198.68
"2020-05-27 19:40:45";237.68
"2020-05-27 19:40:46";201.51
"2020-05-27 19:40:47";197.6
"2020-05-27 19:40:47";169.22
"2020-05-27 19:40:48";163.58
"2020-05-27 19:40:49";190.56
"2020-05-27 19:40:50";170.55
"2020-05-27 19:40:50";169.34
"2020-05-27 19:40:51";195.29
"2020-05-27 19:40:52";172.39
"2020-05-27 19:40:52";188.26
"2020-05-27 19:40:53";166.5
"2020-05-27 19:40:54";226.28
"2020-05-27 19:40:54";159.38
"2020-05-27 19:40:55";176.76
"2020-05-27 19:40:56";225.75
"2020-05-27 19:40:57";206.18
"2020-05-27 19:40:57";238.49
"2020-05-27 19:40:58";159.75
"2020-05-27 19:40:59";199.33
"2020-05-27 19:40:59";228.69
"2020-05-27 19:41:00";184.32
"2020-05-27 19:41:01";196.52
"2020-05-27 19:41:01";220.19
"2020-05-27 19:41:02";203.33
"2020-05-27 19:41:03";240.22
"2020-05-27 19:41:04";206.09
"2020-05-27 19:41:04";234.22
"2020-05-27 19:41:05";209.66
"2020-05-27 19:41:06";187.62
"2020-05-27 19:41:06";172.72
"2020-05-27 19:41:07";204.03
"2020-05-27 19:41:08";226.36
"2020-05-27 19:41:08";210.78
"2020-05-27 19:41:09";210.83
"2020-05-27 19:41:10";228.38
"2020-05-27 19:41:11";206.7
"2020-05-27 19:41:11";211.19
"2020-05-27 19:41:12";228.27
"2020-05-27 19:41:13";192.15
"2020-05-27 19:41:13";222.37
"2020-05-27 19:41:14";164.57
"2020-05-27 19:41:15";214.94
"2020-05-27 19:41:15";173.02
"2020-05-27 19:41:16";206.84
"2020-05-27 19:41:17";218.87
"2020-05-27 19:41:18";212.35
"2020-05-27 19:41:18";228.14
"2020-05-27 19:41:19";216.68
"2020-05-27 19:41:20";156.7
"2020-05-27 19:41:20";163.44
"2020-05-27 19:41:21";209.91
"2020-05-27 19:41:22";197.07
"2020-05-27 19:41:23";174.89
"2020-05-27 19:41:23";200.27
"2020-05-27 19:41:24";211.18
"2020-05-27 19:41:25";234.75
"2020-05-27 19:41:25";194.48
"2020-05-27 19:41:26";195.16
"2020-05-27 19:41:27";164.5
"2020-05-27 19:41:27";195.62
"2020-05-27 19:41:28";240.35
"2020-05-27 19:41:29";217.55
"2020-05-27 19:41:30";231.57
"2020-05-27 19:41:30";157.44
"2020-05-27 19:41:31";226.82
"2020-05-27 19:41:32";205.89
"2020-05-27 19:41:32";223.81
"2020-05-27 19:41:33";210.82
"2020-05-27 19:41:34";220.17
"2020-05-27 19:41:34";212.99
"2020-05-27 19:41:35";190.83
"2020-05-27 19:41:36";158.68
"2020-05-27 19:41:37";219.04
"2020-05-27 19:41:37";162.11
"2020-05-27 19:41:38";155.24
"2020-05-27 19:41:39";204.12
"2020-05-27 19:41:39";207.63
"2020-05-27 19:41:40";223.87
"2020-05-27 19:41:41";200.88
"2020-05-27 19:41:41";214.06
"2020-05-27 19:41:42";197.32
"2020-05-27 19:41:43";154.9
"2020-05-27 19:41:44";182.92
"2020-05-27 19:41:44";154.76
"2020-05-27 19:41:45";205.83
"2020-05-27 19:41:46";209.18
"2020-05-27 19:41:46";154.6
"2020-05-27 19:41:47";189.34
"2020-05-27 19:41:48";181.05
"2020-05-27 19:41:49";201.27
"2020-05-27 19:41:49";185.74
"2020-05-27 19:41:50";195.88
"2020-05-27 19:41:51";174.18
"2020-05-27 19:41:51";173.94
"2020-05-27 19:41:52";201.52
"2020-05-27 19:41:53";215.5
"2020-05-27 19:41:53";204.19
"2020-05-27 19:41:54";227.57
"2020-05-27 19:41:55";171.76
"2020-05-27 19:41:56";182.43
"2020-05-27 19:41:56";239.34
"2020-05-27 19:41:57";163.66
"2020-05-27 19:41:58";221.3
"2020-05-27 19:41:58";223.42
"2020-05-27 19:41:59";180.39
"2020-05-27 19:42:00";159.52
"2020-05-27 19:42:00";224.25
"2020-05-27 19:42:01";154.48
"2020-05-27 19:42:02";188.96
"2020-05-27 19:42:03";177.27
"2020-05-27 19:42:03";206.34
"2020-05-27 19:42:04";186.88
"2020-05-27 19:42:05";198.78
"2020-05-27 19:42:05";203.31
"2020-05-27 19:42:06";188.32
"2020-05-27 19:42:07";168.59
"2020-05-27 19:42:07";164.76
"2020-05-27 19:42:08";206.97
"2020-05-27 19:42:09";186.54
"2020-05-27 19:42:10";235.29
"2020-05-27 19:42:10";217.72
"2020-05-27 19:42:11";179.03
"2020-05-27 19:42:12";165.25
"2020-05-27 19:42:12";207
"2020-05-27 19:42:13";184.8
"2020-05-27 19:42:14";228.34
"2020-05-27 19:42:14";224.5
"2020-05-27 19:42:15";160.51
"2020-05-27 19:42:16";232.94
"2020-05-27 19:42:17";184.31
"2020-05-27 19:42:17";176.55
"2020-05-27 19:42:18";160.87
"2020-05-27 19:42:19";186.52
"2020-05-27 19:42:19";163.98
"2020-05-27 19:42:20";156.62
"2020-05-27 19:42:21";169.79
"2020-05-27 19:42:21";161.37
"2020-05-27 19:42:22";185.27
"2020-05-27 19:42:23";224.91
"2020-05-27 19:42:24";164.64
"2020-05-27 19:42:24";208.51
"2020-05-27 19:42:25";166.79
"2020-05-27 19:42:26";159
"2020-05-27 19:42:26";224.56
"2020-05-27 19:42:27";238.62
"2020-05-27 19:42:28";158.59
"2020-05-27 19:42:29";163.71
"2020-05-27 19:42:29";167.9
"2020-05-27 19:42:30";195.75
"2020-05-27 19:42:31";194.18
"2020-05-27 19:42:31";222.26
"2020-05-27 19:42:32";191.21
"2020-05-27 19:42:33";189.11
"2020-05-27 19:42:33";162.98
"2020-05-27 19:42:34";173.74
"2020-05-27 19:42:35";236.69
"2020-05-27 19:42:36";206.32
"2020-05-27 19:42:36";202.55
"2020-05-27 19:42:37";165.88
"2020-05-27 19:42:38";203.51
"2020-05-27 19:42:38";216.89
"2020-05-27 19:42:39";184.48
"2020-05-27 19:42:40";168.54
"2020-05-27 19:42:40";200.95
"2020-05-27 19:42:41";219.19
"2020-05-27 19:42:42";161.21
"2020-05-27 19:42:43";237.99
"2020-05-27 19:42:43";209.28
"2020-05-27 19:42:44";176.66
"2020-05-27 19:42:45";156.32
"2020-05-27 19:42:45";206.58
"2020-05-27 19:42:46";222.45
"2020-05-27 19:42:47";217.83
"2020-05-27 19:42:48";227.69
"2020-05-27 19:42:48";164.38
"2020-05-27 19:42:49";158.09
"2020-05-27 19:42:50";186.49
"2020-05-27 19:42:50";180.27
"2020-05-27 19:42:51";217.34
"2020-05-27 19:42:52";155.86
"2020-05-27 19:42:52";225.86
"2020-05-27 19:42:53";228.97
"2020-05-27 19:42:54";202.85
"2020-05-27 19:42:55";173.62
"2020-05-27 19:42:55";217
"2020-05-27 19:42:56";201.91
"2020-05-27 19:42:57";157.11
"2020-05-27 19:42:57";159.12
"2020-05-27 19:42:58";163.93
"2020-05-27 19:42:59";182.88
"2020-05-27 19:42:59";157.9
"2020-05-27 19:43:00";170.78
"2020-05-27 19:43:01";161.9
"2020-05-27 19:43:02";200.67
"2020-05-27 19:43:02";180.07
"2020-05-27 19:43:03";236.22
"2020-05-27 19:43:04";178.29
"2020-05-27 19:43:04";225.5
"2020-05-27 19:43:05";174.94
"2020-05-27 19:43:06";165.28
"2020-05-27 19:43:06";189.68
"2020-05-27 19:43:07";198.53
"2020-05-27 19:43:08";183.9
"2020-05-27 19:43:09";230.09
"2020-05-27 19:43:09";162.05
"2020-05-27 19:43:10";185.43
"2020-05-27 19:43:11";199.43
"2020-05-27 19:43:11";169.35
"2020-05-27 19:43:12";176.23
"2020-05-27 19:43:13";189.35
"2020-05-27 19:43:14";200.52
"2020-05-27 19:43:14";181.69
"2020-05-27 19:43:15";214.44
"2020-05-27 19:43:16";192.94
"2020-05-27 19:43:16";201.67
"2020-05-27 19:43:17";162.82
"2020-05-27 19:43:18";182.73
"2020-05-27 19:43:18";179.75
"2020-05-27 19:43:19";184.93
"2020-05-27 19:43:20";182.63
"2020-05-27 19:43:21";177.3
