name,time,Corrente,Localizacao,Picos,TempoForaDeFaixa
TB75,2019-12-24T13:22:49.8863741Z,0,TransporteTB,0,0
TB75,2019-12-24T13:22:50.5952085Z,0,TransporteTB,0,0
TB75,2019-12-24T13:22:51.2965522Z,0,TransporteTB,0,0
TB75,2019-12-24T13:22:51.9979212Z,0,TransporteTB,0,0
TB75,2019-12-24T13:22:52.7035481Z,0,TransporteTB,0,0
TB75,2019-12-24T13:22:53.431144Z,0,TransporteTB,0,0
TB75,2019-12-24T13:22:54.1248083Z,0,TransporteTB,0,0
TB75,2019-12-24T13:22:54.8298154Z,0,TransporteTB,0,0
TB75,2019-12-24T13:22:55.5405252Z,0,TransporteTB,0,0
TB75,2019-12-24T13:22:56.2675962Z,0,TransporteTB,0,0
TB75,2019-12-24T13:22:56.9674704Z,0,TransporteTB,0,0
TB75,2019-12-24T13:22:57.6654168Z,0,TransporteTB,0,0
TB75,2019-12-24T13:22:58.3488044Z,0,TransporteTB,0,0
TB75,2019-12-24T13:22:59.0879133Z,0,TransporteTB,0,0
TB75,2019-12-24T13:22:59.7791337Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:00.4809564Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:01.1648788Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:01.8925259Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:02.6063584Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:03.3364811Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:04.0236231Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:04.7364083Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:06.0365344Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:06.7359085Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:07.4617101Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:08.1663338Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:08.8668578Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:09.5546471Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:10.2610381Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:10.9837908Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:11.6848107Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:12.3796652Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:13.0811885Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:13.822911Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:14.5111371Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:15.2224141Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:15.9417179Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:16.6459199Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:17.3545551Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:18.0324566Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:18.7377411Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:19.4435787Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:20.1473069Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:20.8603141Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:21.5869599Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:22.2661133Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:23.0174601Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:23.6804484Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:24.3771726Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:25.0767661Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:25.7883768Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:26.5227041Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:27.2079048Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:27.9342575Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:28.6524785Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:29.3620694Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:30.0563365Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:30.7366555Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:31.4713258Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:32.1624758Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:32.8588836Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:33.5789561Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:34.283703Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:34.9940257Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:35.7066532Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:36.3904369Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:37.1453907Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:37.8283284Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:38.5070289Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:39.2597542Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:39.9284388Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:40.6382425Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:41.3582301Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:42.0365532Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:42.7589231Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:43.449978Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:44.2055212Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:44.8820937Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:45.5638206Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:46.2646192Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:46.9760652Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:47.6775469Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:48.377487Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:49.082196Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:49.8060682Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:50.5190736Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:51.2049402Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:51.9180724Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:52.6192975Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:53.3603472Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:54.0311425Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:54.7365351Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:55.4327732Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:56.1719738Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:56.8322705Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:57.5303485Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:58.2439522Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:58.9750285Z,0,TransporteTB,0,0
TB75,2019-12-24T13:23:59.6422272Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:00.3533793Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:01.076872Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:01.7782783Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:02.5008663Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:03.217626Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:03.9322374Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:04.6397526Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:05.3101514Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:06.0092347Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:06.7263614Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:07.433286Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:08.1376879Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:08.8490624Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:09.5741096Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:10.2522732Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:10.9377484Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:11.6953108Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:12.3781312Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:13.0611895Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:13.7698641Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:14.4825423Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:15.1742304Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:15.9134187Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:16.6122577Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:17.3342442Z,0,TransporteTB,0,0
TB75,2019-12-24T13:24:18.0251993Z,0,TransporteTB,0,0
